Time,Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation (mm),Pressure (hPa),Cloudburst
08:00:00,2022-12-01,19.2,63.5,10.8,0.3,1012.3,No
11:00:00,2022-12-01,21.8,61.2,12.5,0.2,1011.8,No
14:00:00,2022-12-01,22.3,60.9,12.2,0.1,1011.5,No
17:00:00,2022-12-01,18.7,70.1,14.6,0.5,1011.1,Yes
08:00:00,2022-12-02,17.3,72.5,11.1,0.4,1013.0,No
11:00:00,2022-12-02,19.9,69.9,12.8,0.3,1012.7,No
14:00:00,2022-12-02,20.5,68.7,11.7,0.2,1012.4,No
17:00:00,2022-12-02,16.1,76.8,15.2,0.8,1012.0,Yes
08:00:00,2022-12-03,15.2,78.3,12.9,0.5,1013.1,No
11:00:00,2022-12-03,17.8,75.6,14.2,0.3,1012.8,No
14:00:00,2022-12-03,18.4,74.5,13.7,0.2,1012.5,No
17:00:00,2022-12-03,14.9,80.2,16.3,1.0,1012.1,Yes
08:00:00,2022-12-04,13.6,82.7,14.6,0.7,1012.9,Yes
11:00:00,2022-12-04,15.8,79.9,15.2,0.5,1012.6,Yes
14:00:00,2022-12-04,16.4,78.4,14.7,0.4,1012.3,Yes
17:00:00,2022-12-04,13.0,84.1,17.1,1.2,1012.0,Yes
08:00:00,2022-12-05,11.7,86.1,15.9,1.0,1012.8,Yes
11:00:00,2022-12-05,13.7,83.2,17.2,0.8,1012.5,Yes
14:00:00,2022-12-05,14.3,81.8,16.8,0.6,1012.2,Yes
17:00:00,2022-12-05,11.2,87.3,18.6,1.5,1011.9,Yes
08:00:00,2022-12-06,10.1,88.9,17.4,1.3,1012.6,Yes
11:00:00,2022-12-06,11.9,85.7,18.3,1.2,1012.3,Yes
14:00:00,2022-12-06,12.6,84.1,17.8,1.1,1012.0,Yes
17:00:00,2022-12-06,9.6,89.8,19.9,2.0,1011.7,Yes
08:00:00,2022-12-07,8.7,91.2,19.2,1.9,1012.3,Yes
11:00:00,2022-12-07,9.9,88.3,20.0,1.8,1012.0,Yes
14:00:00,2022-12-07,10.5,86.9,19.5,1.7,1011.7,Yes
17:00:00,2022-12-07,8.0,92.5,21.4,2.4,1011.4,Yes
08:00:00,2022-12-08,7.3,93.8,20.9,2.3,1012.0,Yes
11:00:00,2022-12-08,8.6,91.2,21.7,2.2,1011.7,Yes
14:00:00,2022-12-08,9.1,89.8,21.2,2.1,1011.4,Yes
17:00:00,2022-12-08,6.6,94.9,22.9,2.9,1011.1,Yes
08:00:00,2022-12-09,6.0,95.9,22.2,2.8,1012.5,Yes
11:00:00,2022-12-09,7.1,93.3,23.0,2.7,1012.2,Yes
14:00:00,2022-12-09,7.6,91.9,22.5,2.6,1011.9,Yes
17:00:00,2022-12-09,5.3,96.6,24.4,3.5,1011.6,Yes
08:00:00,2022-12-10,4.8,97.4,23.7,3.4,1012.2,Yes
11:00:00,2022-12-10,5.9,94.9,24.5,3.3,1011.9,Yes
14:00:00,2022-12-10,6.4,93.6,24.0,3.2,1011.6,Yes
17:00:00,2022-12-10,4.3,98.0,25.9,4.0,1011.3,Yes
08:00:00,2022-12-11,3.8,98.7,25.2,3.9,1012.0,Yes
11:00:00,2022-12-11,4.9,96.3,26.0,3.8,1011.7,Yes
14:00:00,2022-12-11,5.4,94.9,25.5,3.7,1011.4,Yes
17:00:00,2022-12-11,3.4,98.8,27.4,4.5,1011.1,Yes
08:00:00,2022-12-12,2.9,99.2,26.7,4.4,1012.6,Yes
11:00:00,2022-12-12,4.0,96.7,27.5,4.3,1012.3,Yes
14:00:00,2022-12-12,4.5,95.4,27.0,4.2,1012.0,Yes
17:00:00,2022-12-12,2.5,99.4,28.9,4.9,1011.7,Yes
08:00:00,2022-12-13,2.0,99.7,28.2,4.8,1012.3,Yes
11:00:00,2022-12-13,3.1,97.2,29.0,4.7,1012.0,Yes
14:00:00,2022-12-13,3.6,95.9,28.5,4.6,1011.7,Yes
17:00:00,2022-12-13,1.6,99.6,30.4,5.3,1011.4,Yes
08:00:00,2022-12-14,1.1,99.8,29.7,5.2,1012.0,Yes
11:00:00,2022-12-14,2.2,97.4,30.5,5.1,1011.7,Yes
14:00:00,2022-12-14,2.7,96.1,30.0,5.0,1011.4,Yes
17:00:00,2022-12-14,0.7,99.9,31.9,5.7,1011.1,Yes
08:00:00,2022-12-15,0.2,99.9,31.2,5.6,1012.6,Yes
11:00:00,2022-12-15,1.3,97.6,32.0,5.5,1012.3,Yes
14:00:00,2022-12-15,1.8,96.3,31.5,5.4,1012.0,Yes
17:00:00,2022-12-15,-0.2,100.0,33.4,6.1,1011.7,Yes
08:00:00,2022-12-16,-0.7,100.0,32.7,6.0,1012.3,Yes
11:00:00,2022-12-16,0.4,97.8,33.5,5.9,1012.0,Yes
14:00:00,2022-12-16,0.9,96.5,33.0,5.8,1011.7,Yes
17:00:00,2022-12-16,-1.1,100.0,34.9,6.5,1011.4,Yes
08:00:00,2022-12-17,-1.6,100.0,34.2,6.4,1012.0,Yes
11:00:00,2022-12-17,-0.5,97.9,35.0,6.3,1011.7,Yes
14:00:00,2022-12-17,0.0,96.6,34.5,6.2,1011.4,Yes
17:00:00,2022-12-17,-2.0,100.0,36.4,6.9,1011.1,Yes
08:00:00,2022-12-18,-2.5,100.0,35.7,6.8,1012.6,Yes
11:00:00,2022-12-18,-1.4,98.0,36.5,6.7,1012.3,Yes
14:00:00,2022-12-18,0.1,96.7,36.0,6.6,1012.0,Yes
17:00:00,2022-12-18,-2.9,100.0,37.9,7.3,1011.7,Yes
08:00:00,2022-12-19,-3.4,100.0,37.2,7.2,1012.3,Yes
11:00:00,2022-12-19,-2.3,98.1,38.0,7.1,1012.0,Yes
14:00:00,2022-12-19,0.2,96.8,37.5,7.0,1011.7,Yes
17:00:00,2022-12-19,-3.4,100.0,39.4,7.6,1011.4,Yes
08:00:00,2022-12-20,-4.1,100.0,38.7,7.5,1012.0,Yes
11:00:00,2022-12-20,-3.0,98.2,39.5,7.4,1011.7,Yes
14:00:00,2022-12-20,0.3,96.9,39.0,7.3,1011.4,Yes
17:00:00,2022-12-20,-4.0,100.0,40.9,7.9,1011.1,Yes
08:00:00,2022-12-21,-4.7,100.0,40.2,7.8,1012.6,Yes
11:00:00,2022-12-21,-3.6,98.3,41.0,7.7,1012.3,Yes
14:00:00,2022-12-21,0.4,97.0,40.5,7.6,1012.0,Yes
17:00:00,2022-12-21,-4.6,100.0,42.4,8.2,1011.7,Yes
08:00:00,2022-12-22,-5.2,100.0,41.7,8.1,1012.3,Yes
11:00:00,2022-12-22,-4.1,98.4,42.5,8.0,1012.0,Yes
14:00:00,2022-12-22,0.5,97.1,42.0,7.9,1011.7,Yes
17:00:00,2022-12-22,-5.2,100.0,43.9,8.5,1011.4,Yes
08:00:00,2022-12-23,-5.8,100.0,43.2,8.4,1012.0,Yes
11:00:00,2022-12-23,-4.7,98.5,44.0,8.3,1011.7,Yes
14:00:00,2022-12-23,0.6,97.2,43.5,8.2,1011.4,Yes
17:00:00,2022-12-23,-5.8,100.0,45.4,8.8,1011.1,Yes
08:00:00,2022-12-24,-6.4,100.0,44.7,8.7,1012.6,Yes
11:00:00,2022-12-24,-5.3,98.6,45.5,8.6,1012.3,Yes
14:00:00,2022-12-24,0.7,97.3,45.0,8.5,1012.0,Yes
17:00:00,2022-12-24,-6.4,100.0,46.9,9.1,1011.7,Yes
08:00:00,2022-12-25,-7.0,100.0,46.2,9.0,1012.3,Yes
11:00:00,2022-12-25,-5.9,98.7,47.0,8.9,1012.0,Yes
14:00:00,2022-12-25,0.8,97.4,46.5,8.8,1011.7,Yes
17:00:00,2022-12-25,-7.0,100.0,48.4,9.4,1011.4,Yes
08:00:00,2022-12-26,-7.6,100.0,47.7,9.3,1012.0,Yes
11:00:00,2022-12-26,-6.5,98.8,48.5,9.2,1011.7,Yes
14:00:00,2022-12-26,0.9,97.5,48.0,9.1,1011.4,Yes
17:00:00,2022-12-26,-7.6,100.0,49.9,9.7,1011.1,Yes
08:00:00,2022-12-27,-8.2,100.0,49.2,9.6,1012.6,Yes
11:00:00,2022-12-27,-7.1,98.9,50.0,9.5,1012.3,Yes
14:00:00,2022-12-27,1.0,97.6,49.5,9.4,1012.0,Yes
17:00:00,2022-12-27,-8.2,100.0,51.4,10.0,1011.7,Yes
08:00:00,2022-12-28,-8.8,100.0,50.7,9.9,1012.3,Yes
11:00:00,2022-12-28,-7.7,99.0,51.5,9.8,1012.0,Yes
14:00:00,2022-12-28,1.1,97.7,51.0,9.7,1011.7,Yes
17:00:00,2022-12-28,-8.8,100.0,52.9,10.3,1011.4,Yes
08:00:00,2022-12-29,-9.4,100.0,52.2,10.2,1012.0,Yes
11:00:00,2022-12-29,-8.3,99.1,53.0,10.1,1011.7,Yes
14:00:00,2022-12-29,1.2,97.8,52.5,10.0,1011.4,Yes
17:00:00,2022-12-29,-9.4,100.0,54.4,10.6,1011.1,Yes
08:00:00,2022-12-30,-10.0,100.0,53.7,10.5,1012.6,Yes
11:00:00,2022-12-30,-8.9,99.2,54.5,10.4,1012.3,Yes
14:00:00,2022-12-30,1.3,97.9,54.0,10.3,1012.0,Yes
17:00:00,2022-12-30,-10.0,100.0,55.9,10.9,1011.7,Yes
08:00:00,2022-12-31,-10.6,100.0,55.2,10.8,1012.3,Yes
11:00:00,2022-12-31,-9.5,99.3,56.0,10.7,1012.0,Yes
14:00:00,2022-12-31,1.4,98.0,55.5,10.6,1011.7,Yes
17:00:00,2022-12-31,-10.6,100.0,57.4,11.2,1011.4,Yes
