Time,Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation (mm),Pressure (hPa),Cloudburst
08:00:00,2022-05-01,22.5,70.8,11.4,0.2,1011.2,No
11:00:00,2022-05-01,24.3,67.7,12.8,0.1,1010.7,No
14:00:00,2022-05-01,25.1,66.5,13.5,0.1,1010.3,No
17:00:00,2022-05-01,21.4,75.5,15.2,0.3,1010.0,Yes
08:00:00,2022-05-02,22.8,69.5,11.9,0.2,1011.1,No
11:00:00,2022-05-02,24.7,66.4,13.3,0.1,1010.6,No
14:00:00,2022-05-02,25.5,65.2,14.0,0.1,1010.2,No
17:00:00,2022-05-02,21.8,74.2,15.7,0.3,1009.9,Yes
08:00:00,2022-05-03,23.2,68.2,12.4,0.2,1011.0,No
11:00:00,2022-05-03,25.1,65.1,13.8,0.1,1010.5,No
14:00:00,2022-05-03,25.9,63.9,14.5,0.1,1010.1,No
17:00:00,2022-05-03,22.2,73.0,16.2,0.3,1009.8,Yes
08:00:00,2022-05-04,23.6,67.0,12.9,0.2,1010.9,No
11:00:00,2022-05-04,25.5,63.9,14.3,0.1,1010.4,No
14:00:00,2022-05-04,26.3,62.7,15.0,0.1,1010.0,No
17:00:00,2022-05-04,22.6,72.0,16.7,0.3,1009.7,Yes
08:00:00,2022-05-05,24.0,66.0,13.4,0.2,1010.8,No
11:00:00,2022-05-05,25.9,62.9,14.8,0.1,1010.3,No
14:00:00,2022-05-05,26.7,61.7,15.5,0.1,1009.9,No
17:00:00,2022-05-05,23.0,71.0,17.2,0.3,1009.6,Yes
08:00:00,2022-05-06,24.4,65.0,13.9,0.2,1010.7,No
11:00:00,2022-05-06,26.3,61.9,15.3,0.1,1010.2,No
14:00:00,2022-05-06,27.1,60.7,16.0,0.1,1009.8,No
17:00:00,2022-05-06,23.4,70.2,17.9,0.3,1009.5,Yes
08:00:00,2022-05-07,24.8,64.0,14.4,0.2,1010.6,No
11:00:00,2022-05-07,26.7,60.9,15.8,0.1,1010.1,No
14:00:00,2022-05-07,27.5,59.7,16.5,0.1,1009.7,No
17:00:00,2022-05-07,23.8,69.4,18.6,0.3,1009.4,Yes
08:00:00,2022-05-08,25.2,63.0,14.9,0.2,1010.5,No
11:00:00,2022-05-08,27.1,59.9,16.3,0.1,1010.0,No
14:00:00,2022-05-08,27.9,58.7,17.0,0.1,1009.6,No
17:00:00,2022-05-08,24.2,68.6,19.3,0.3,1009.3,Yes
08:00:00,2022-05-09,25.6,62.0,15.4,0.2,1010.4,No
11:00:00,2022-05-09,27.5,58.9,16.8,0.1,1009.9,No
14:00:00,2022-05-09,28.3,57.7,17.5,0.1,1009.5,No
17:00:00,2022-05-09,24.6,67.8,20.0,0.3,1009.2,Yes
08:00:00,2022-05-10,26.0,61.0,15.9,0.2,1010.3,No
11:00:00,2022-05-10,27.9,57.9,17.3,0.1,1009.8,No
14:00:00,2022-05-10,28.7,56.7,18.0,0.1,1009.4,No
17:00:00,2022-05-10,25.0,66.6,21.9,0.3,1009.1,Yes
08:00:00,2022-05-11,26.4,60.0,16.4,0.2,1010.2,No
11:00:00,2022-05-11,28.3,56.9,17.8,0.1,1009.7,No
14:00:00,2022-05-11,29.1,55.7,18.5,0.1,1009.3,No
17:00:00,2022-05-11,25.4,65.4,22.4,0.3,1009.0,Yes
08:00:00,2022-05-12,26.8,59.0,16.9,0.2,1010.1,No
11:00:00,2022-05-12,28.7,55.9,18.3,0.1,1009.6,No
14:00:00,2022-05-12,29.5,54.7,19.0,0.1,1009.2,No
17:00:00,2022-05-12,25.8,64.2,23.4,0.3,1008.9,Yes
